orbitals:index,orbitals:label,orbitals:homo_distance,orbitals:energy / eV,orbitals:symmetry,orbitals:symmetry_index
76,LUMO+27,28,9.79373122750065,A,76
77,LUMO+28,29,9.8333237927484,A,77
78,LUMO+29,30,10.486179342867999,A,78
79,LUMO+30,31,10.770402259715251,A,79
80,LUMO+31,32,10.7836542042346,A,80
81,LUMO+32,33,11.1861105891241,A,81
82,LUMO+33,34,11.478306441791,A,82
83,LUMO+34,35,11.5279400081222,A,83
84,LUMO+35,36,12.0652560173195,A,84
85,LUMO+36,37,12.25032064704455,A,85
86,LUMO+37,38,12.578544373517651,A,86
87,LUMO+38,39,12.695281215382149,A,87
88,LUMO+39,40,13.08326114342505,A,88
89,LUMO+40,41,13.164623184724551,A,89
