excited_states:spectrum:ev:x / eV,excited_states:spectrum:ev:y / oscillator_strength
3.5700000000000003,0.00025882494377555754
3.58,0.0002777087681822501
3.59,0.00029693945413723327
3.6,0.00031640334749380737
3.61,0.00033597664067983566
3.62,0.0003555264752821027
3.63,0.00037491227602796446
3.64,0.00039398730197317606
3.65,0.0004126003944523799
3.66,0.0004305978953137635
3.67,0.0004478257033462578
3.68,0.00046413143181740703
3.69,0.000479366625861532
3.7,0.0004933889952605306
3.71,0.0005060646160855972
3.72,0.0005172700538258254
3.73,0.0005268943610880224
3.74,0.0005348409047371
3.75,0.0005410289804381745
3.7600000000000002,0.0005453951768942729
3.77,0.0005478944575366228
3.7800000000000002,0.0005485009338661026
3.79,0.0005472083118763198
3.8000000000000003,0.0005440300007933225
3.81,0.0005389988815048417
3.8200000000000003,0.0005321667402713764
3.83,0.0005236033813574017
3.84,0.0005133954398451297
3.85,0.0005016449228631435
3.86,0.0004884675135699559
3.87,0.0004739906773023863
3.88,0.0004583516131931983
3.89,0.0004416950971868937
3.9,0.0004241712636878109
3.91,0.0004059333730573917
3.92,0.0003871356108797037
3.93,0.0003679309624196703
3.94,0.00034846920212845505
3.95,0.00032889503355765346
3.96,0.00030934640980591495
3.97,0.00028995305883236684
3.98,0.00027083523183408224
3.99,0.00025210268660370107
4.0,0.00023385391155586303
4.01,0.00021617559012109856
4.0200000000000005,0.0001991422996180157
4.03,0.0001828164336691756
4.04,0.00016724833283568566
4.05,0.00015247660449305123
4.0600000000000005,0.00013852861010813408
4.07,0.00012542109602620464
4.08,0.00011316094263114714
4.09,0.00010174600626832867
4.1,9.116602856307579e-05
4.11,8.140358865451658e-05
4.12,7.243507530674999e-05
4.13,6.423165775940519e-05
4.14,5.676023643504402e-05
4.15,4.998435712782071e-05
4.16,4.3865074955714074e-05
4.17,3.836175707281482e-05
4.18,3.3432815822938814e-05
4.19,2.9036366596332275e-05
4.2,2.5130807064973413e-05
4.21,2.167531666936553e-05
4.22,1.8630277174466375e-05
4.23,1.5957616780888834e-05
4.24,1.362108165820203e-05
4.25,1.1586439859211441e-05
4.26,9.821623386087977e-06
4.2700000000000005,8.296814727422911e-06
4.28,6.984484492133868e-06
4.29,5.859386858427365e-06
4.3,4.8985194634027444e-06
4.3100000000000005,4.081054112356051e-06
4.32,3.3882443175221816e-06
4.33,2.8033152139391477e-06
4.34,2.3113408735146044e-06
4.3500000000000005,1.899113472812257e-06
4.36,1.5550081881325433e-06
4.37,1.2688471123910908e-06
4.38,1.0317649279611575e-06
4.39,8.360785405293628e-07
4.4,6.751623904161741e-07
4.41,5.433307160791005e-07
