excited_states:spectrum:ev:x / eV,excited_states:spectrum:ev:y / oscillator_strength
3.73,0.520790534440531
3.74,0.5497814236306763
3.75,0.5783781674748849
3.7600000000000002,0.6063572439710401
3.77,0.6334904902067187
3.7800000000000002,0.6595481085418737
3.79,0.6843018414418767
3.8000000000000003,0.7075282552644423
3.81,0.7290120680580493
3.8200000000000003,0.7485494527967098
3.83,0.7659512456342435
3.84,0.7810459888328095
3.85,0.7936827400641914
3.86,0.8037335837903519
3.87,0.8110957863250692
3.88,0.8156935438166776
3.89,0.8174792815652387
3.9,0.8164344735312327
3.91,0.8125699622952711
3.92,0.805925771741396
3.93,0.7965704169892641
3.94,0.7845997282128659
3.95,0.7701352165806041
3.96,0.7533220212783277
3.97,0.7343264861106898
3.98,0.713333422239141
3.99,0.6905431199833652
4.0,0.666168177125653
4.01,0.6404302137195822
4.0200000000000005,0.6135565439896077
4.03,0.5857768745583702
4.04,0.5573200950598463
4.05,0.5284112223532076
4.0600000000000005,0.49926855325829883
4.07,0.47010107324335443
4.08,0.4411061600915668
4.09,0.4124676125555692
4.1,0.3843540246824253
4.11,0.3569175171551716
4.12,0.33029282793163695
4.13,0.30459675592227353
4.14,0.27992794365731505
4.15,0.2563669780306012
4.16,0.23397678241062161
4.17,0.21280326877034605
4.18,0.19287621505289362
4.19,0.17421033076266465
4.2,0.15680647271431233
4.21,0.14065297291218853
4.22,0.12572704156885897
4.23,0.11199621017759441
4.24,0.09941978218903692
4.25,0.08795026205503349
4.26,0.0775347370384541
4.2700000000000005,0.06811619009446543
4.28,0.059634726162076906
4.29,0.05202869823243148
4.3,0.04523572346554238
4.3100000000000005,0.03919358331077497
4.32,0.03384100496853306
4.33,0.029118324550967866
4.34,0.024968034917211113
4.3500000000000005,0.02133522335089316
4.36,0.01816790600861804
4.37,0.015417267406216718
4.38,0.013037814145997787
4.39,0.010987452653633175
4.4,0.009227500925966053
4.41,0.0077226442339973144
4.42,0.006440844424407783
4.43,0.005353211964709528
4.44,0.004433849226921432
4.45,0.0036596727455470972
4.46,0.0030102213570178706
4.47,0.00246745626476349
4.48,0.002015558206944821
4.49,0.0016407260578530365
4.5,0.00133098038920092
4.51,0.0010759747693126266
4.5200000000000005,0.0008668168973361043
4.53,0.000695901062774168
